,from_aggr_zone,to_aggr_zone,product_group,year,amount_tons
322,(L)Ofoten og Vesterålen,Nordland,Neo bulk,2040,3402.244094417839
323,(L)Ofoten og Vesterålen,Nordland,Neo bulk,2050,3719.2031963679933
324,(L)Ofoten og Vesterålen,North Sweden,Break bulk (fast),2018,22.99680311325037
325,(L)Ofoten og Vesterålen,North Sweden,Break bulk (fast),2020,21.07844889671113
326,(L)Ofoten og Vesterålen,North Sweden,Break bulk (fast),2025,24.712657638074212
327,(L)Ofoten og Vesterålen,North Sweden,Break bulk (fast),2030,28.97345295800947
328,(L)Ofoten og Vesterålen,North Sweden,Break bulk (fast),2040,34.828916900939326
329,(L)Ofoten og Vesterålen,North Sweden,Break bulk (fast),2050,43.106366416533
330,(L)Ofoten og Vesterålen,North Sweden,Break bulk (slow),2018,423.6983907688763
331,(L)Ofoten og Vesterålen,North Sweden,Break bulk (slow),2020,386.7849861250251
332,(L)Ofoten og Vesterålen,North Sweden,Break bulk (slow),2025,448.7664021736423
333,(L)Ofoten og Vesterålen,North Sweden,Break bulk (slow),2030,520.6859735263223
334,(L)Ofoten og Vesterålen,North Sweden,Break bulk (slow),2040,618.2929352141683
335,(L)Ofoten og Vesterålen,North Sweden,Break bulk (slow),2050,759.7389788089214
336,(L)Ofoten og Vesterålen,North Sweden,Container (fast),2018,207.27383690452592
337,(L)Ofoten og Vesterålen,North Sweden,Container (fast),2020,189.81685950287766
338,(L)Ofoten og Vesterålen,North Sweden,Container (fast),2025,222.13615649637606
339,(L)Ofoten og Vesterålen,North Sweden,Container (fast),2030,259.95832062659423
340,(L)Ofoten og Vesterålen,North Sweden,Container (fast),2040,311.8059563377276
341,(L)Ofoten og Vesterålen,North Sweden,Container (fast),2050,385.37363066421847
342,(L)Ofoten og Vesterålen,North Sweden,Container (slow),2018,5.14403619377154
343,(L)Ofoten og Vesterålen,North Sweden,Container (slow),2020,4.71079616247278
344,(L)Ofoten og Vesterålen,North Sweden,Container (slow),2025,5.51288308272592
345,(L)Ofoten og Vesterålen,North Sweden,Container (slow),2030,6.45153787928969
346,(L)Ofoten og Vesterålen,North Sweden,Container (slow),2040,7.73827101764714
347,(L)Ofoten og Vesterålen,North Sweden,Container (slow),2050,9.56404307396982
348,(L)Ofoten og Vesterålen,North Sweden,Dry bulk,2018,1068496.2899035895
349,(L)Ofoten og Vesterålen,North Sweden,Dry bulk,2020,947788.3104209527
350,(L)Ofoten og Vesterålen,North Sweden,Dry bulk,2025,1018411.672029518
351,(L)Ofoten og Vesterålen,North Sweden,Dry bulk,2030,1094297.4526298102
352,(L)Ofoten og Vesterålen,North Sweden,Dry bulk,2040,1087300.0414704375
353,(L)Ofoten og Vesterålen,North Sweden,Dry bulk,2050,1117449.0585941998
354,(L)Ofoten og Vesterålen,North Sweden,Neo bulk,2018,69.76643892526886
355,(L)Ofoten og Vesterålen,North Sweden,Neo bulk,2020,63.39776206452115
356,(L)Ofoten og Vesterålen,North Sweden,Neo bulk,2025,72.72155440279849
357,(L)Ofoten og Vesterålen,North Sweden,Neo bulk,2030,83.41818340273355
358,(L)Ofoten og Vesterålen,North Sweden,Neo bulk,2040,97.43163863749974
359,(L)Ofoten og Vesterålen,North Sweden,Neo bulk,2050,118.06320009555255
360,(L)Ofoten og Vesterålen,Rogaland,Break bulk (fast),2018,66.88148711320747
361,(L)Ofoten og Vesterålen,Rogaland,Break bulk (fast),2020,63.41846951318907
362,(L)Ofoten og Vesterålen,Rogaland,Break bulk (fast),2025,73.04607187927047
363,(L)Ofoten og Vesterålen,Rogaland,Break bulk (fast),2030,84.23188635437678
364,(L)Ofoten og Vesterålen,Rogaland,Break bulk (fast),2040,100.12056824145971
365,(L)Ofoten og Vesterålen,Rogaland,Break bulk (fast),2050,116.18119693743995
366,(L)Ofoten og Vesterålen,Rogaland,Break bulk (slow),2018,157.40975477755708
