,path,product,time_period,weight,scenario
8824,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Other thermo,2020,0.25133072234528875,AVG22
8825,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Wet bulk,2020,0.3107312517859425,AVG22
8826,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Dry bulk,2025,1.0857847690406839,AVG22
8827,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Fish,2025,0.0842998196253281,AVG22
8828,"[('Kristiansand', 'Bergen', 'Sea', 1)]",General cargo,2025,25.95643037180093,AVG22
8829,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Industrial goods,2025,9.13372936120956,AVG22
8830,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Other thermo,2025,0.2728059797121999,AVG22
8831,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Wet bulk,2025,0.31944721345356897,AVG22
8832,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Dry bulk,2030,1.2521015493178846,AVG22
8833,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Fish,2030,0.10113984026123093,AVG22
8834,"[('Kristiansand', 'Bergen', 'Sea', 1)]",General cargo,2030,30.60783288168719,AVG22
8835,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Industrial goods,2030,10.5449352028274,AVG22
8836,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Other thermo,2030,0.2978355210925172,AVG22
8837,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Wet bulk,2030,0.33317671856447956,AVG22
8838,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Dry bulk,2040,1.2962161523166047,AVG22
8839,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Fish,2040,0.12970655258997454,AVG22
8840,"[('Kristiansand', 'Bergen', 'Sea', 1)]",General cargo,2040,35.22828445202552,AVG22
8841,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Industrial goods,2040,11.8194383823112,AVG22
8842,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Other thermo,2040,0.33063177019325124,AVG22
8843,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Wet bulk,2040,0.3121604115416542,AVG22
8844,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Dry bulk,2050,1.4672093447071188,AVG22
8845,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Fish,2050,0.15907018089229924,AVG22
8846,"[('Kristiansand', 'Bergen', 'Sea', 1)]",General cargo,2050,41.727241577918775,AVG22
8847,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Industrial goods,2050,13.968767901182204,AVG22
8848,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Other thermo,2050,0.36688587615412577,AVG22
8849,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Wet bulk,2050,0.32219888549203257,AVG22
8850,"[('Oslo', 'Stavanger', 'Sea', 1)]",Fish,2030,4.121156399119351,AVG22
8851,"[('Oslo', 'Stavanger', 'Sea', 1)]",General cargo,2030,89.9212208546088,AVG22
8852,"[('Oslo', 'Stavanger', 'Sea', 1)]",Industrial goods,2030,120.90461749760702,AVG22
8853,"[('Oslo', 'Stavanger', 'Sea', 1)]",Other thermo,2030,9.022118843060948,AVG22
8854,"[('Oslo', 'Stavanger', 'Sea', 1)]",Dry bulk,2040,25.302837871017495,AVG22
8855,"[('Oslo', 'Stavanger', 'Sea', 1)]",Fish,2040,4.8573977662151195,AVG22
8856,"[('Oslo', 'Stavanger', 'Sea', 1)]",General cargo,2040,175.22245337505498,AVG22
8857,"[('Oslo', 'Stavanger', 'Sea', 1)]",Industrial goods,2040,118.72646904184711,AVG22
8858,"[('Oslo', 'Stavanger', 'Sea', 1)]",Other thermo,2040,9.796777692845207,AVG22
8859,"[('Oslo', 'Stavanger', 'Sea', 1)]",Wet bulk,2040,37.29397366285226,AVG22
